file,num_clusters,avg,std,min,max
compressed\kmeans\sample1\k1\high_level_compress\deltas.csv,1,4137.00,0.00,4137,4137
compressed\kmeans\sample1\k10\high_level_compress\deltas.csv,10,413.70,841.45,1,2806
compressed\kmeans\sample1\k2\high_level_compress\deltas.csv,2,2068.50,2056.50,12,4125
compressed\kmeans\sample1\k20\high_level_compress\deltas.csv,20,206.85,456.42,1,1973
compressed\kmeans\sample1\k30\high_level_compress\deltas.csv,30,137.90,278.46,1,1363
compressed\kmeans\sample1\k5\high_level_compress\deltas.csv,5,827.40,1204.86,1,3152
compressed\kmeans\sample2\k1\high_level_compress\deltas.csv,1,2705.00,0.00,2705,2705
compressed\kmeans\sample2\k10\high_level_compress\deltas.csv,10,270.50,464.27,1,1394
compressed\kmeans\sample2\k2\high_level_compress\deltas.csv,2,1352.50,1196.50,156,2549
compressed\kmeans\sample2\k20\high_level_compress\deltas.csv,20,135.25,251.63,1,1031
compressed\kmeans\sample2\k30\high_level_compress\deltas.csv,30,90.17,200.30,1,968
compressed\kmeans\sample2\k5\high_level_compress\deltas.csv,5,541.00,615.15,7,1519
compressed\neural\sample1\k1\high_level_compress\deltas.csv,1,4137.00,0.00,4137,4137
compressed\neural\sample1\k10\high_level_compress\deltas.csv,10,413.70,372.11,26,966
compressed\neural\sample1\k2\high_level_compress\deltas.csv,2,2068.50,554.50,1514,2623
compressed\neural\sample1\k20\high_level_compress\deltas.csv,20,206.85,191.63,1,490
compressed\neural\sample1\k30\high_level_compress\deltas.csv,30,137.90,197.73,1,584
compressed\neural\sample1\k5\high_level_compress\deltas.csv,5,827.40,577.78,146,1622
compressed\neural\sample2\k30\high_level_compress\deltas.csv,30,90.17,116.08,1,494
compressed\raceid\deltas.csv,10,413.70,682.02,5,2243
